Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6199398835	24890.7578125000	0.0094640963	23127.1757812500	NaN	20814.4582031250	23127.1757812500	20814.4582031250	10814.4582031250	613.5000000000	17.6274787337	20814.4582031250
0.6199514704	25014.7910156250	0.0082992846	23127.1757812500	NaN	20814.4582031250	23127.1757812500	20814.4582031250	10814.4582031250	613.5000000000	17.6274787337	20814.4582031250
0.6199630431	24984.0761718750	0.0071064462	23349.6035156250	NaN	21014.6431640625	23349.6035156250	21014.6431640625	11014.6431640625	613.5000000000	17.9537785885	21014.6431640625
0.6199746166	25126.2382812500	0.0061555933	23349.6035156250	NaN	21014.6431640625	23349.6035156250	21014.6431640625	11014.6431640625	613.5000000000	17.9537785885	21014.6431640625
0.6199861996	25059.3750000000	-0.0033030347	23349.6035156250	NaN	21014.6431640625	23349.6035156250	21014.6431640625	11014.6431640625	613.5000000000	17.9537785885	21014.6431640625
0.6199977973	25185.7656250000	-0.0060318662	23349.6035156250	NaN	21014.6431640625	23349.6035156250	21014.6431640625	11014.6431640625	613.5000000000	17.9537785885	21014.6431640625
0.6200093391	25197.9140625000	-0.0071413084	23349.6035156250	NaN	21014.6431640625	23349.6035156250	21014.6431640625	11014.6431640625	613.5000000000	17.9537785885	21014.6431640625
0.6200209003	25369.0410156250	-0.0150400177	23353.4218750000	NaN	21018.0796875000	23353.4218750000	21018.0796875000	11018.0796875000	613.5000000000	17.9593800937	21018.0796875000
0.6200325075	25159.7597656250	-0.0126509229	23353.4218750000	NaN	21018.0796875000	23353.4218750000	21018.0796875000	11018.0796875000	613.5000000000	17.9593800937	21018.0796875000
0.6200440570	25114.5957031250	-0.0138977645	23353.4218750000	NaN	21018.0796875000	23353.4218750000	21018.0796875000	11018.0796875000	613.5000000000	17.9593800937	21018.0796875000
0.6200556328	24989.8554687500	-0.0270682052	23353.4218750000	NaN	21018.0796875000	23353.4218750000	21018.0796875000	11018.0796875000	613.5000000000	17.9593800937	21018.0796875000
0.6200672260	25080.9238281250	-0.0202003270	23353.4218750000	NaN	21018.0796875000	23353.4218750000	21018.0796875000	11018.0796875000	613.5000000000	17.9593800937	21018.0796875000
0.6200788018	25111.1484375000	-0.0255882647	23114.3496093750	NaN	20802.9146484375	23114.3496093750	20802.9146484375	10802.9146484375	613.5000000000	17.6086628336	20802.9146484375
0.6200903576	25037.4433593750	-0.0237214211	23114.3496093750	NaN	20802.9146484375	23114.3496093750	20802.9146484375	10802.9146484375	613.5000000000	17.6086628336	20802.9146484375
0.6201019323	25084.2597656250	-0.0270101000	23114.3496093750	NaN	20802.9146484375	23114.3496093750	20802.9146484375	10802.9146484375	613.5000000000	17.6086628336	20802.9146484375
0.6201135128	24937.8808593750	-0.0247925837	23114.3496093750	NaN	20802.9146484375	23114.3496093750	20802.9146484375	10802.9146484375	613.5000000000	17.6086628336	20802.9146484375
0.6201250925	24939.6933593750	-0.0253551658	23114.3496093750	NaN	20802.9146484375	23114.3496093750	20802.9146484375	10802.9146484375	613.5000000000	17.6086628336	20802.9146484375
0.6201366028	24924.5585937500	-0.0233645942	23367.3867187500	NaN	21030.6480468750	23367.3867187500	21030.6480468750	11030.6480468750	613.5000000000	17.9798664171	21030.6480468750
0.6201482291	24888.0468750000	-0.0300068930	23367.3867187500	NaN	21030.6480468750	23367.3867187500	21030.6480468750	11030.6480468750	613.5000000000	17.9798664171	21030.6480468750
0.6201598124	25008.4707031250	-0.0285454094	23367.3867187500	NaN	21030.6480468750	23367.3867187500	21030.6480468750	11030.6480468750	613.5000000000	17.9798664171	21030.6480468750
0.6201713788	24957.2226562500	-0.0331889354	23367.3867187500	NaN	21030.6480468750	23367.3867187500	21030.6480468750	11030.6480468750	613.5000000000	17.9798664171	21030.6480468750
0.6201829711	24981.1679687500	-0.0292351376	23367.3867187500	NaN	21030.6480468750	23367.3867187500	21030.6480468750	11030.6480468750	613.5000000000	17.9798664171	21030.6480468750
